Area_Name,Date,,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Andaman & Nicobar Islands,1/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,4,4
Andhra Pradesh,1/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136,1311,2725
Arunachal Pradesh,1/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,21,27
Assam,1/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,94,205
Bihar,1/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44,205,946
Chandigarh,1/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,107,281
Chhattisgarh,1/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,338,790
Dadra & Nagar Haveli,1/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,4,12
Delhi,1/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,62,688,3185
Goa,1/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9,68,152
Gujarat,1/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401,1345,4830
Haryana,1/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34,882,1967
Himachal Pradesh,1/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,31,47
Jammu & Kashmir,1/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,81,460
Jharkhand,1/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,38,211
Karnataka,1/31/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,183,993,3087
Kerala,2/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47,300,1038
Madhya Pradesh,2/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1063,3756
Maharashtra,2/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,653,1968,6244
Manipur,2/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,5,57
Meghalaya,2/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,5,22
Mizoram,2/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,11,11
Nagaland,2/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,15,53
Odisha,2/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22,222,778
Puducherry,2/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,136,136,281
Punjab,2/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,123,229,609
Rajasthan,2/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58,628,3273
Sikkim,2/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,2,2
Tamil Nadu,2/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2523,3858
Tripura,2/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,3,10
Uttar Pradesh,2/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,15,727,4046
Uttarakhand,2/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,60,236
West Bengal,2/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14,461,1904
Andaman & Nicobar Islands,2/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,2
Andhra Pradesh,2/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,12,1420,3025
Arunachal Pradesh,2/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,19,49
Assam,2/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,115,485
Bihar,2/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13,197,996
Chandigarh,2/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,126,328
Chhattisgarh,2/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,244,752
Dadra & Nagar Haveli,2/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,19,31
Daman & Diu,2/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,16,32
Delhi,2/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,111,665,3291
Goa,2/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,32,138
Gujarat,3/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254,1325,5318
Haryana,3/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,881,1920
Himachal Pradesh,3/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,39,63
Jammu & Kashmir,3/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,94,270
Jharkhand,3/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,57,597
Karnataka,3/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,190,1020,3376
Kerala,3/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,35,373,1272
Madhya Pradesh,3/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,66,1285,4225
Maharashtra,3/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,172,2098,6777
Manipur,3/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,98
Meghalaya,3/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,6,31
Mizoram,3/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,17,18
Nagaland,3/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,12,89
Odisha,3/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,307,784
Puducherry,3/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,44,249
Punjab,3/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,203,310,725
Rajasthan,3/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,30,714,3696
Tamil Nadu,3/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,44,2934,4319
Tripura,3/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,63,71
Uttar Pradesh,3/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,934,4126
Uttarakhand,3/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,64,253
West Bengal,3/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64,423,2704
Andaman & Nicobar Islands,3/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,2,3
Andhra Pradesh,3/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,38,1636,3865
Arunachal Pradesh,3/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,11,49
Assam,3/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,58,497
Bihar,3/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16,243,1183
Chandigarh,3/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,131,274
Chhattisgarh,3/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,325,752
Dadra & Nagar Haveli,3/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,4,10
Daman & Diu,3/31/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,8,26
Delhi,4/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257,586,3360
Goa,4/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,39,124
Gujarat,4/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,347,1770,6131
